codigo;categoria;subcategoria;sub;nombre;stock
AV02HCXR322;Audio y Video;RADIOGRABADOR;RADIOGRABADOR;RADIOGRABADOR HITPLUS CXJ194;1
AV02RRG-RA20N;Audio y Video;RADIOGRABADOR;;REPRODUCTOR DE CD RANSER 200W;1
AV03PDMPBD83PRK;Audio y Video;DVD;DVD;BLUE RAY PANASONIC;1
AV03PDVDS700PRK;Audio y Video;DVD;;DVD PANASONIC S700PRK;1
AV03PDVP500;Audio y Video;DVD;;DVD PHILCO DVP500 HDMI;1
AV03PSC-XH105PU;Audio y Video;DVD;;HOME THEATRE PANASONIC SCXH105;1
AV04KEQUI50B;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO EQUIS-50BT;1
AV04KSQ-8008;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO SQ-8008;1
AV04KSQ-8012;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO SQ-8012;1
AV04KTW150NV;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW150NV;1
AV04KTW100;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW100;1
AV04KTW200;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW200;1
AV04KTW300BL;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW300BL;1
AV04KTW400BL;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW400BL;1
AV04KTW500BL;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW500BL;1
AV04KTW2803;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO TW2803;1
AV04KMOD3300;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO MOD 3300;1
AV04KMOD7700;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO MOD 7700;1
AV04KMOD7000;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO MOD 7000;1
AV04KK2012;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO K2012;1
AV04KMODH-10BL;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO H10BL;1
AV04KSA-12L;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO SA-12L;1
AV04KSA-15L;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO SA-15L;1
AV04KSA-06L;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO SA-06L;1
AV04KSA-08L;Audio y Video;PARLANTES;PARLANTES;PARLANTE KIOTO SA-08L;1
AV04BM9136;Audio y Video;PARLANTES;PARLANTES;BAFLE PORTATIL BOMBER BASS 55W;1
AV04BM8447;Audio y Video;BOMBER 600W;BOMBER 600W;"BAFLE BOMBER PAPAO 600 W 15""";1
AV04BM9206;Audio y Video;BOMBER 600W;;"BAFLE BOMBER PAPAO 610 W 15""";1
